trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,traffic_condition,weather_condition,fare_amount
15.41,34.73,4.0,6,0,High,Cloudy,66.71
5.42,12.65,1.0,18,0,Medium,Snowy,28.23
2.27,3.45,1.0,23,0,Medium,Foggy,12.62
16.37,28.73,5.0,14,1,Medium,Clear,51.54
4.71,7.04,2.0,8,0,Medium,Clear,18.65
5.79,13.32,1.0,9,0,Medium,Clear,25.61
3.56,7.92,3.0,22,1,Medium,Clear,17.06
7.19,10.58,1.0,19,0,Low,Cloudy,21.78
1.43,3.4,1.0,19,1,Low,Clear,9.01
3.97,10.58,1.0,3,0,Very High,Rainy,34.53
2.39,4.77,3.0,3,1,Low,Rainy,12.06
8.55,14.83,1.0,4,0,Medium,Clear,31.43
3.15,3.33,3.0,8,0,Medium,Cloudy,14.02
11.88,21.3,1.0,11,0,Medium,Cloudy,38.99
1.12,2.77,2.0,22,1,Low,Cloudy,9.18
4.84,15.51,1.0,20,0,High,Clear,28.56
2.15,5.88,4.0,4,1,High,Clear,16.84
0.61,1.15,1.0,10,0,Low,Clear,4.79
1.49,2.25,3.0,22,1,High,Clear,13.03
5.87,12.84,1.0,10,1,Medium,Cloudy,20.46
3.29,5.23,1.0,12,0,High,Clear,15.4
14.12,27.11,1.0,13,1,Medium,Clear,48.64
4.51,7.59,2.0,7,0,Medium,Cloudy,22.85
2.29,5.57,1.0,17,0,High,Clear,15.92
7.68,15.37,2.0,18,0,Medium,Clear,29.14
9.81,12.42,2.0,11,1,Low,Cloudy,26.06
1.46,1.0,1.0,11,1,Medium,Rainy,8.08
1.47,1.55,1.0,17,0,High,Clear,12.56
0.5,2.7,1.0,9,0,Medium,Clear,5.34
10.67,20.75,5.0,6,1,Medium,Clear,38.3
8.72,19.47,1.0,17,0,High,Snowy,51.21
5.15,15.91,1.0,11,0,High,Clear,24.05
14.87,30.45,1.0,13,0,Medium,Cloudy,49.46
13.11,26.67,2.0,14,1,Medium,Foggy,45.71
7.04,11.75,2.0,15,1,Medium,Cloudy,25.61
16.22,26.39,4.0,1,1,Low,Clear,41.32
1.84,4.96,4.0,17,0,High,Cloudy,13.8
0.95,1.0,1.0,11,1,High,Clear,7.13
2.51,4.5,1.0,15,0,Medium,Clear,9.25
0.5,1.0,2.0,12,1,Low,Clear,4.29
6.06,7.66,4.0,19,0,Low,Clear,20.99
0.5,2.85,1.0,17,0,Medium,Clear,6.62
1.04,1.81,4.0,2,0,Medium,Foggy,8.24
4.81,7.14,1.0,22,1,Medium,Clear,19.53
3.04,5.7,4.0,0,0,Medium,Rainy,17.06
5.66,12.71,3.0,5,1,Medium,Cloudy,23.28
0.5,1.2,1.0,2,0,Medium,Rainy,7.11
1.28,1.0,1.0,18,1,Medium,Cloudy,6.27
0.5,2.29,6.0,22,0,High,Clear,10.63
8.15,9.14,1.0,7,0,Low,Cloudy,22.94
16.19,24.04,1.0,7,0,Low,Foggy,46.57
4.85,11.4,2.0,6,1,Medium,Foggy,20.02
5.8,10.37,1.0,1,1,High,Rainy,30.48
5.37,11.62,2.0,20,0,High,Clear,28.26
8.79,20.44,2.0,5,0,High,Rainy,46.06
1.2,3.93,1.0,15,1,Low,Clear,4.91
0.5,2.25,5.0,9,0,High,Foggy,14.27
2.94,8.33,1.0,3,0,High,Clear,16.7
9.76,15.84,2.0,12,1,Low,Clear,26.4
1.8,2.63,1.0,9,0,Medium,Rainy,11.96
8.95,20.07,2.0,20,0,Medium,Rainy,37.7
0.79,1.0,1.0,8,0,Medium,Clear,7.88
8.93,17.16,1.0,10,1,High,Foggy,42.73
4.69,10.67,1.0,22,0,High,Cloudy,24.46
1.56,1.85,2.0,10,1,Medium,Cloudy,8.88
9.44,18.0,1.0,16,0,Medium,Rainy,35.86
14.57,36.28,1.0,1,1,High,Clear,67.19
9.2,15.1,2.0,10,0,Low,Cloudy,25.75
5.5,10.63,2.0,17,0,High,Rainy,30.72
7.7,13.4,1.0,2,0,Medium,Clear,27.77
16.25,25.78,2.0,14,1,Low,Clear,42.24
6.76,10.36,3.0,10,0,Low,Cloudy,19.03
0.5,2.38,1.0,10,0,Very High,Clear,7.8
9.36,17.88,1.0,10,0,Medium,Foggy,33.03
9.03,28.9,1.0,18,1,Very High,Clear,58.37
1.94,2.57,1.0,0,1,Medium,Clear,10.4
8.6,11.26,1.0,4,1,Low,Clear,23.31
4.01,3.99,3.0,9,0,Medium,Cloudy,16.41
8.43,14.14,1.0,9,1,Low,Clear,24.25
0.9,1.0,1.0,13,0,Low,Foggy,4.69
8.58,22.48,1.0,1,0,High,Cloudy,45.36
0.5,1.0,2.0,1,1,High,Clear,8.98
4.18,7.96,3.0,12,1,Low,Clear,12.74
16.37,30.59,5.0,18,1,Medium,Foggy,61.17
12.2,18.84,1.0,4,1,Low,Clear,33.16
6.7,13.77,3.0,19,0,Medium,Cloudy,28.67
10.73,20.65,1.0,1,1,Medium,Rainy,40.48
16.86,23.59,1.0,10,0,Low,Rainy,48.55
4.14,10.67,1.0,17,0,High,Clear,24.49
3.17,6.4,1.0,5,0,Low,Cloudy,12.44
8.81,17.24,6.0,22,0,Medium,Clear,31.94
13.2,31.95,1.0,9,0,High,Rainy,67.79
11.49,22.99,2.0,21,0,Medium,Cloudy,41.84
12.79,28.94,1.0,22,0,High,Clear,57.67
4.58,7.72,2.0,16,1,Medium,Rainy,19.32
1.02,4.56,3.0,10,0,Medium,Clear,9.78
6.29,17.83,1.0,18,0,Very High,Cloudy,42.99
0.5,2.3,4.0,16,0,Medium,Clear,6.61
3.14,5.43,3.0,23,0,High,Foggy,19.16
3.65,9.2,2.0,3,0,Very High,Clear,26.62
4.04,5.08,1.0,23,1,Medium,Cloudy,17.22
9.51,22.68,1.0,13,0,High,Foggy,47.24
3.94,7.98,4.0,19,0,Medium,Clear,18.87
4.76,11.09,1.0,3,0,Medium,Clear,19.99
2.17,3.64,1.0,13,0,Medium,Clear,10.99
3.74,7.74,1.0,3,0,Low,Foggy,13.33
2.06,5.17,1.0,5,0,Medium,Rainy,11.9
0.61,6.66,1.0,8,1,Very High,Clear,14.72
7.4,20.54,2.0,20,0,High,Clear,39.24
8.83,23.51,1.0,11,0,High,Foggy,43.34
7.73,10.58,1.0,7,0,Medium,Cloudy,30.9
4.98,7.55,1.0,23,0,Medium,Cloudy,18.43
3.82,6.32,1.0,3,0,Low,Cloudy,13.16
15.92,28.38,2.0,4,0,Low,Rainy,48.87
5.86,9.8,1.0,5,0,Low,Foggy,18.4
5.22,10.49,2.0,4,0,High,Clear,28.16
0.5,1.83,1.0,18,0,High,Foggy,10.57
3.34,4.28,1.0,7,0,Medium,Rainy,15.87
3.83,4.03,1.0,8,0,Low,Clear,15.71
4.07,8.46,1.0,14,0,Medium,Clear,16.21
6.94,14.49,3.0,3,0,Medium,Foggy,30.34
6.1,9.84,1.0,8,0,Medium,Clear,22.08
7.49,12.92,2.0,6,0,Medium,Rainy,29.25
11.58,18.86,5.0,7,0,Medium,Rainy,44.92
10.13,15.1,1.0,18,0,Medium,Clear,34.12
0.5,1.1,5.0,4,1,Medium,Clear,8.24
1.74,1.0,2.0,18,1,Medium,Rainy,11.32
0.5,1.0,2.0,6,1,High,Clear,7.45
8.34,15.52,1.0,5,1,Medium,Foggy,33.02
18.26,27.0,3.0,18,1,Low,Clear,48.05
2.23,10.58,2.0,16,1,Low,Rainy,10.65
0.5,10.58,2.0,18,0,Medium,Cloudy,7.71
3.47,4.57,1.0,14,0,Low,Clear,12.07
0.86,1.0,3.0,9,1,Low,Cloudy,6.74
5.32,8.64,1.0,10,0,High,Foggy,24.51
2.37,10.58,1.0,22,1,High,Clear,16.55
2.68,6.05,1.0,2,0,Medium,Clear,14.36
2.94,5.8,1.0,2,0,Medium,Rainy,16.88
6.2,10.95,6.0,10,0,Medium,Clear,23.36
2.98,6.81,1.0,19,0,High,Clear,19.3
7.54,9.1,1.0,21,1,Low,Clear,20.1
10.07,18.87,2.0,17,1,Medium,Clear,34.8
2.55,4.95,1.0,14,1,High,Clear,15.27
4.27,5.76,1.0,6,0,Medium,Clear,15.79
1.04,3.93,1.0,9,1,High,Clear,10.99
1.6,1.0,1.0,20,0,High,Cloudy,12.56
9.14,14.76,1.0,22,0,Low,Clear,27.2
1.6,4.89,1.0,19,1,High,Cloudy,14.86
5.96,7.89,1.0,9,0,Low,Clear,17.11
9.88,25.03,3.0,12,0,High,Clear,43.49
0.9,1.47,1.0,14,0,Very High,Clear,11.76
6.7,17.87,4.0,22,1,Very High,Clear,40.31
2.37,3.11,2.0,17,0,High,Rainy,17.51
5.29,10.38,5.0,3,0,High,Rainy,32.77
13.12,28.92,1.0,19,1,High,Cloudy,59.59
6.39,9.45,1.0,16,1,Low,Cloudy,19.76
0.5,1.0,1.0,2,0,Low,Cloudy,5.26
8.02,17.55,2.0,20,0,Medium,Clear,31.08
7.36,22.08,1.0,1,0,Very High,Clear,46.74
13.68,25.36,1.0,3,1,Medium,Clear,46.43
17.25,31.54,2.0,0,0,Medium,Clear,58.47
2.07,10.58,1.0,14,0,Medium,Cloudy,7.68
1.91,3.33,1.0,0,1,High,Clear,12.44
7.55,20.12,1.0,5,0,Very High,Foggy,52.34
4.24,6.2,3.0,6,1,Low,Clear,12.19
14.65,32.3,1.0,18,1,High,Clear,64.68
18.42,32.9,1.0,11,1,Medium,Foggy,62.15
3.49,8.45,3.0,0,0,Medium,Clear,15.15
2.16,2.26,1.0,6,0,High,Clear,14.53
12.13,16.12,2.0,18,1,Low,Clear,30.99
2.57,7.37,5.0,12,0,Medium,Clear,14.35
13.84,25.17,3.0,11,0,Medium,Clear,44.1
4.41,9.37,1.0,11,0,Low,Clear,13.57
8.81,10.88,1.0,21,0,Low,Cloudy,22.75
0.8,1.35,1.0,12,1,Low,Clear,3.51
7.82,16.21,5.0,13,0,Medium,Clear,29.15
4.81,5.4,6.0,21,0,Low,Clear,11.51
7.07,16.6,1.0,11,1,Medium,Clear,26.19
1.47,10.58,2.0,19,1,Medium,Foggy,11.12
10.68,31.46,3.0,11,0,Very High,Clear,61.19
15.89,28.44,1.0,5,0,Medium,Rainy,59.83
1.95,8.54,1.0,9,0,Very High,Clear,21.08
0.8,1.81,1.0,19,0,Low,Clear,6.81
0.5,5.36,1.0,23,1,High,Cloudy,9.2
8.22,14.69,4.0,8,0,Low,Rainy,27.48
7.47,19.04,4.0,1,0,High,Foggy,38.29
6.33,9.96,1.0,6,0,Medium,Cloudy,21.62
2.11,4.12,1.0,8,0,Medium,Clear,12.17
3.97,6.81,1.0,11,0,Medium,Clear,15.29
7.22,10.88,1.0,4,0,Low,Cloudy,19.98
5.49,13.06,2.0,0,1,High,Clear,28.26
1.17,10.58,2.0,14,1,Low,Clear,4.09
9.5,26.88,1.0,7,0,Very High,Rainy,63.4
4.14,4.19,1.0,0,0,Low,Clear,13.94
4.47,11.99,6.0,17,0,High,Rainy,29.67
10.12,29.29,1.0,12,0,Very High,Clear,58.07
9.43,15.77,1.0,0,0,Low,Cloudy,27.45
1.1,1.0,1.0,17,1,Medium,Cloudy,10.02
0.88,1.0,2.0,15,1,Medium,Cloudy,5.42
10.31,27.28,2.0,9,0,High,Rainy,56.69
6.91,17.64,4.0,3,0,High,Rainy,37.22
2.56,4.05,1.0,0,1,Very High,Cloudy,20.37
0.66,1.93,1.0,22,0,Low,Clear,5.03
0.72,1.0,1.0,7,1,Medium,Foggy,12.17
17.97,29.5,3.0,4,1,Medium,Clear,58.08
1.7,8.16,1.0,1,0,Very High,Rainy,21.61
3.13,4.85,1.0,23,0,Low,Cloudy,12.44
2.06,6.3,1.0,16,0,Very High,Rainy,17.8
3.51,4.07,1.0,6,1,Medium,Cloudy,13.71
0.58,1.0,1.0,16,0,Medium,Cloudy,7.72
5.86,7.8,6.0,5,1,Medium,Clear,21.94
0.56,4.14,1.0,21,0,High,Rainy,5.91
12.89,20.88,1.0,14,0,Medium,Clear,39.7
2.13,8.19,1.0,4,0,High,Rainy,19.77
6.21,9.67,1.0,14,0,Medium,Clear,20.75
16.97,29.36,1.0,17,0,Medium,Rainy,66.25
8.42,12.52,1.0,17,0,Low,Clear,24.91
6.09,12.79,1.0,20,0,High,Clear,30.12
3.14,6.08,1.0,20,0,Medium,Rainy,16.26
3.24,5.78,1.0,22,0,High,Rainy,20.04
8.86,15.99,1.0,5,0,Medium,Cloudy,30.41
8.67,17.98,1.0,16,0,Medium,Clear,31.33
6.53,13.27,1.0,20,1,Medium,Clear,24.96
10.49,24.88,1.0,3,1,High,Clear,47.1
5.01,13.76,1.0,11,0,High,Clear,24.23
0.5,1.28,2.0,18,0,Low,Clear,7.04
6.61,19.2,2.0,1,1,Very High,Cloudy,45.23
1.54,2.15,1.0,13,1,High,Clear,11.31
9.37,12.63,1.0,14,0,Low,Cloudy,22.47
1.79,2.98,1.0,19,0,Low,Clear,8.51
6.14,13.55,1.0,1,0,Medium,Clear,25.42
0.81,2.66,1.0,3,1,Medium,Clear,8.93
4.79,14.78,1.0,18,0,Very High,Foggy,38.51
11.29,14.72,3.0,8,0,Low,Clear,30.84
3.42,6.18,1.0,6,1,Low,Rainy,13.7
8.75,12.33,5.0,12,0,Low,Cloudy,25.19
12.7,19.4,1.0,11,0,Low,Clear,30.76
2.14,1.7,1.0,12,0,Medium,Cloudy,6.91
4.08,7.96,4.0,14,0,Medium,Snowy,20.14
1.32,2.45,1.0,13,0,Low,Clear,7.17
6.21,14.32,6.0,12,0,High,Clear,28.41
14.76,34.66,6.0,22,0,High,Rainy,75.72
5.89,12.66,1.0,21,0,High,Cloudy,27.0
7.82,21.22,2.0,3,0,Very High,Clear,47.05
0.75,1.0,1.0,20,0,High,Foggy,10.35
11.26,10.58,1.0,7,0,Medium,Clear,42.34
1.09,5.54,1.0,2,0,Medium,Cloudy,11.13
12.19,23.83,1.0,18,0,Medium,Clear,43.42
9.87,18.57,1.0,22,0,Medium,Clear,37.59
0.5,1.0,1.0,7,1,Medium,Clear,8.7
2.89,8.19,1.0,16,0,Very High,Foggy,21.31
2.44,7.21,1.0,12,0,High,Rainy,16.95
3.57,10.58,1.0,6,0,Medium,Clear,12.84
0.73,1.76,1.0,8,1,Very High,Cloudy,12.61
6.46,7.7,1.0,13,0,Low,Clear,18.05
2.92,8.87,1.0,13,0,High,Clear,16.07
4.05,8.52,4.0,14,0,High,Rainy,23.37
4.74,10.05,1.0,2,1,Low,Clear,16.23
7.34,17.55,3.0,14,0,High,Rainy,37.59
5.8,10.58,1.0,18,1,Medium,Cloudy,27.7
5.5,14.21,1.0,19,0,Very High,Clear,39.9
15.25,27.47,1.0,7,0,Medium,Foggy,56.98
1.87,7.9,1.0,4,0,Very High,Clear,18.06
0.99,4.41,2.0,3,0,Low,Rainy,7.18
13.61,36.84,1.0,13,1,Very High,Clear,75.7
3.83,7.66,2.0,15,0,Low,Clear,14.73
16.83,30.07,1.0,19,0,Medium,Cloudy,57.29
16.2,32.87,2.0,23,0,High,Cloudy,68.88
13.12,32.3,1.0,5,0,High,Clear,61.97
12.49,29.03,1.0,22,0,High,Snowy,66.47
2.91,6.29,2.0,5,1,Low,Rainy,11.84
0.68,1.2,1.0,2,1,Low,Clear,6.52
4.13,11.81,1.0,14,0,Very High,Cloudy,28.36
1.52,5.28,1.0,2,0,Low,Clear,5.74
9.5,14.49,1.0,10,0,Low,Rainy,27.22
3.4,6.95,1.0,2,1,High,Clear,20.48
8.19,15.67,2.0,17,0,Medium,Clear,29.42
13.83,15.06,1.0,0,1,Low,Snowy,42.28
1.14,3.63,3.0,15,1,High,Clear,8.23
20.49,30.64,2.0,9,1,Low,Clear,52.42
5.34,9.17,1.0,0,0,Medium,Clear,20.75
7.46,14.76,2.0,3,0,Medium,Clear,28.71
11.58,30.41,2.0,2,0,High,Cloudy,57.8
1.54,3.83,2.0,4,1,Medium,Clear,10.82
5.59,13.43,1.0,11,0,High,Cloudy,27.04
4.07,6.85,1.0,11,0,Medium,Clear,14.68
1.27,1.0,1.0,12,1,Medium,Cloudy,8.75
3.67,8.58,1.0,23,0,High,Clear,21.43
0.56,1.13,1.0,11,1,Medium,Cloudy,4.46
0.5,1.0,2.0,15,0,High,Clear,6.46
1.16,1.0,3.0,12,0,Medium,Clear,6.92
6.38,11.45,1.0,23,1,Medium,Clear,24.95
4.53,11.7,4.0,20,0,Medium,Cloudy,20.79
2.99,5.17,1.0,14,0,High,Cloudy,14.29
5.64,9.63,1.0,11,1,Medium,Clear,19.87
4.63,12.89,2.0,18,0,High,Clear,26.36
0.89,1.0,3.0,20,0,Medium,Cloudy,8.07
8.19,8.35,1.0,18,0,Low,Snowy,24.32
1.95,3.36,2.0,20,1,Low,Clear,9.09
7.73,19.57,2.0,10,0,High,Clear,34.74
8.4,11.66,1.0,20,0,Low,Clear,26.44
1.32,1.73,2.0,5,1,Low,Clear,6.5
0.51,1.0,1.0,8,1,Low,Clear,5.46
12.14,20.77,2.0,0,0,Medium,Rainy,47.2
4.93,8.6,1.0,11,1,Medium,Cloudy,20.11
0.5,2.05,1.0,13,0,Low,Clear,3.0
0.5,2.98,1.0,0,0,Medium,Clear,8.59
9.5,25.39,5.0,21,0,High,Clear,45.93
2.19,1.91,1.0,23,0,High,Clear,12.73
1.23,1.74,6.0,10,0,Medium,Rainy,8.47
1.04,3.31,2.0,2,0,Low,Clear,6.9
2.89,6.48,5.0,9,0,High,Rainy,22.0
0.85,1.0,1.0,5,0,Medium,Rainy,9.3
9.43,16.58,1.0,5,0,Medium,Clear,32.43
0.51,1.0,1.0,19,0,Very High,Cloudy,12.31
5.7,15.69,3.0,20,1,Very High,Cloudy,41.23
7.64,20.13,1.0,9,0,High,Clear,39.95
2.93,4.15,1.0,22,0,High,Foggy,17.18
7.82,13.23,2.0,5,1,Medium,Clear,27.75
5.99,14.79,1.0,22,1,Very High,Clear,38.36
4.44,12.47,2.0,16,0,High,Clear,25.04
1.12,3.94,1.0,13,0,Low,Clear,3.9
17.41,10.58,1.0,4,0,Medium,Cloudy,60.6
4.78,7.79,1.0,22,0,Low,Rainy,19.56
1.73,2.53,2.0,16,0,Very High,Cloudy,11.4
3.67,7.28,1.0,1,1,Medium,Cloudy,16.7
4.28,4.18,4.0,8,1,Low,Clear,12.93
14.06,26.44,1.0,11,0,Medium,Rainy,52.73
10.58,29.47,1.0,18,1,Very High,Rainy,70.55
11.73,20.81,1.0,21,1,Medium,Clear,36.74
0.5,1.0,4.0,6,1,Medium,Clear,5.69
4.3,9.42,1.0,8,1,Medium,Rainy,22.04
5.25,11.43,1.0,20,0,Low,Clear,16.53
0.5,1.85,5.0,15,0,Low,Clear,4.97
2.41,9.07,2.0,19,1,Medium,Clear,13.48
11.43,21.83,1.0,10,1,Medium,Clear,39.5
1.18,5.78,1.0,11,1,Medium,Clear,8.64
6.13,10.58,3.0,14,0,Medium,Rainy,24.15
1.94,3.39,1.0,17,0,Low,Cloudy,8.76
0.5,1.09,1.0,18,0,Very High,Cloudy,10.76
2.21,4.74,1.0,15,0,Medium,Clear,8.88
12.94,16.58,5.0,4,0,Low,Clear,35.49
5.35,5.06,2.0,14,0,Low,Cloudy,13.94
0.93,3.15,1.0,17,0,Medium,Clear,9.0
6.35,15.96,1.0,12,0,High,Clear,30.06
4.85,11.94,1.0,3,0,Medium,Snowy,25.95
14.88,26.18,2.0,16,0,Medium,Clear,49.48
0.83,1.0,1.0,3,1,Very High,Rainy,11.36
5.36,12.26,1.0,15,0,Medium,Clear,18.53
1.3,1.0,1.0,22,0,High,Clear,9.16
3.14,2.36,1.0,14,1,Low,Cloudy,9.91
10.7,16.47,1.0,13,0,Low,Clear,27.47
5.17,9.6,1.0,11,1,Medium,Clear,20.15
3.77,5.97,1.0,2,0,Low,Clear,12.93
4.01,12.5,1.0,9,1,Very High,Clear,32.52
4.92,8.47,1.0,7,0,Low,Cloudy,14.91
12.3,22.91,1.0,5,1,Medium,Cloudy,40.99
17.81,33.49,5.0,21,1,Medium,Clear,60.72
12.37,28.83,2.0,16,0,High,Rainy,60.68
3.03,2.91,6.0,20,0,Medium,Clear,15.13
9.32,23.18,6.0,18,0,High,Cloudy,48.91
4.6,12.79,1.0,15,0,High,Foggy,24.97
2.35,10.58,1.0,14,1,Medium,Clear,9.76
14.7,28.68,5.0,14,0,Medium,Clear,48.76
0.5,1.0,2.0,0,0,Medium,Snowy,8.6
18.56,25.01,1.0,23,1,Low,Clear,47.09
4.95,9.09,2.0,22,0,Low,Clear,15.79
8.11,23.17,1.0,22,0,Very High,Cloudy,51.55
8.62,16.5,1.0,11,1,Medium,Clear,30.42
18.04,27.49,1.0,9,1,Low,Snowy,54.13
8.1,12.66,1.0,13,0,Low,Clear,23.85
7.61,10.58,1.0,9,1,Medium,Cloudy,30.98
0.55,1.0,4.0,9,0,Low,Cloudy,5.82
5.85,7.16,1.0,19,0,Medium,Cloudy,23.57
1.3,3.33,1.0,10,0,Low,Cloudy,6.94
10.7,17.21,1.0,21,0,Low,Snowy,33.62
5.74,10.76,2.0,15,0,High,Rainy,26.55
9.12,23.66,6.0,8,0,Very High,Clear,57.87
0.5,2.7,1.0,14,1,Medium,Cloudy,7.34
0.71,3.89,1.0,13,0,High,Clear,7.3
10.08,9.79,1.0,18,1,Low,Clear,27.22
0.6,2.28,2.0,8,0,High,Clear,10.9
0.59,1.0,1.0,3,1,Low,Rainy,6.41
0.5,1.31,1.0,20,0,High,Clear,9.28
10.7,23.35,1.0,21,0,High,Clear,46.89
3.49,10.58,4.0,7,1,High,Foggy,25.84
2.81,3.89,1.0,23,1,Medium,Clear,14.18
3.44,7.94,1.0,7,0,Medium,Rainy,19.71
11.92,24.29,3.0,18,0,Medium,Cloudy,45.63
8.66,14.49,3.0,14,0,Medium,Snowy,35.59
1.64,1.0,1.0,15,1,Low,Rainy,4.0
1.53,3.1,5.0,21,1,Medium,Rainy,10.13
0.83,10.58,2.0,22,1,High,Clear,10.45
8.64,11.77,1.0,8,1,Low,Cloudy,25.29
11.56,20.87,1.0,11,1,Medium,Clear,37.6
2.46,6.36,1.0,15,0,High,Clear,14.9
0.5,10.58,1.0,3,1,Low,Rainy,5.79
0.69,2.35,1.0,4,0,Medium,Clear,9.62
2.8,5.9,3.0,0,0,High,Clear,15.48
11.73,22.66,1.0,5,0,Medium,Clear,41.69
7.84,10.58,1.0,14,0,Medium,Clear,23.84
3.85,9.51,1.0,3,0,Low,Clear,14.56
1.84,2.39,2.0,20,0,Low,Clear,9.35
1.04,2.31,3.0,10,0,Medium,Cloudy,5.14
7.64,25.97,1.0,4,0,Very High,Clear,49.83
11.92,32.49,2.0,17,0,Very High,Foggy,75.58
8.26,23.87,1.0,23,0,High,Snowy,49.97
6.05,12.82,2.0,14,0,Medium,Clear,21.72
0.5,1.64,1.0,17,1,Low,Clear,6.93
12.82,22.35,1.0,12,0,Medium,Foggy,44.04
2.77,1.9,4.0,4,1,Medium,Cloudy,12.04
7.37,19.31,5.0,21,0,High,Foggy,41.8
6.99,14.38,1.0,17,0,High,Foggy,37.04
11.03,17.37,1.0,13,0,Medium,Rainy,41.0
13.36,30.9,1.0,4,0,High,Rainy,68.42
8.55,13.97,2.0,5,1,Low,Rainy,27.15
1.1,2.63,3.0,23,0,High,Rainy,9.12
3.3,6.16,3.0,15,0,Low,Clear,9.93
2.04,4.2,2.0,20,0,Low,Clear,10.87
3.72,5.27,5.0,11,1,Low,Clear,13.29
4.53,11.82,1.0,19,0,Very High,Clear,31.9
4.63,10.22,3.0,17,0,Medium,Cloudy,23.34
7.59,22.18,4.0,1,0,Very High,Clear,47.04
2.2,5.9,2.0,20,0,Low,Clear,9.29
1.04,2.47,1.0,22,0,Medium,Foggy,10.19
1.76,4.61,1.0,12,0,Medium,Clear,8.2
17.44,31.92,2.0,16,0,Medium,Clear,54.22
8.3,17.82,1.0,16,0,Medium,Rainy,31.36
2.69,3.08,1.0,15,1,High,Clear,12.48
13.54,28.74,4.0,20,0,Medium,Rainy,56.37
15.81,25.77,1.0,17,0,Medium,Clear,53.36
14.99,25.35,1.0,7,0,Medium,Foggy,55.01
2.33,4.36,1.0,16,0,High,Clear,11.39
11.25,20.44,1.0,17,0,Medium,Foggy,41.95
4.94,8.2,1.0,22,1,Medium,Clear,19.04
14.76,26.11,1.0,5,0,Medium,Foggy,52.83
10.43,30.36,1.0,7,0,Very High,Rainy,71.35
11.98,17.87,4.0,22,0,Low,Clear,30.68
8.54,21.63,1.0,12,1,High,Clear,39.44
1.56,3.09,1.0,7,0,Medium,Clear,9.59
6.3,10.98,5.0,18,0,Medium,Clear,27.21
0.5,1.0,1.0,14,0,High,Snowy,7.56
1.44,10.58,2.0,9,1,Medium,Clear,7.44
1.13,1.01,2.0,16,0,Low,Clear,7.64
10.36,24.87,3.0,0,0,High,Cloudy,49.72
13.62,33.47,1.0,6,1,Very High,Clear,74.54
1.92,4.44,1.0,12,0,High,Rainy,14.04
5.64,7.75,1.0,2,0,Low,Clear,15.62
14.7,27.84,2.0,18,0,Medium,Foggy,54.2
10.56,15.98,2.0,14,0,Medium,Cloudy,35.37
6.25,16.95,1.0,4,0,Medium,Clear,24.62
7.14,10.78,1.0,10,0,Low,Rainy,21.31
5.68,6.09,5.0,21,1,Low,Rainy,14.88
2.83,6.84,1.0,17,1,High,Rainy,20.82
6.66,18.47,1.0,2,1,High,Clear,36.45
9.34,19.14,3.0,5,0,High,Clear,42.64
8.09,14.93,1.0,4,0,Medium,Clear,29.07
11.45,26.56,1.0,8,0,High,Clear,54.07
1.4,4.67,1.0,18,1,High,Rainy,15.22
4.95,17.06,1.0,12,0,Very High,Clear,33.57
0.5,2.5,4.0,5,1,Medium,Clear,7.01
2.27,1.48,1.0,10,0,Medium,Clear,7.96
10.37,21.97,2.0,20,0,High,Clear,47.98
0.84,3.51,1.0,13,0,High,Clear,10.33
4.11,10.77,2.0,5,1,High,Snowy,27.65
12.88,26.67,1.0,5,1,Medium,Cloudy,47.08
1.83,5.37,2.0,16,0,High,Clear,11.72
6.48,13.81,1.0,10,0,High,Rainy,35.71
10.57,24.18,1.0,14,0,High,Clear,45.58
7.66,14.89,1.0,8,0,High,Clear,35.96
1.67,10.58,2.0,20,0,Low,Clear,7.67
3.51,6.91,1.0,16,1,High,Clear,18.98
12.25,25.42,4.0,23,0,Medium,Rainy,50.58
6.46,19.61,1.0,6,0,Very High,Foggy,42.81
0.5,4.81,1.0,6,1,Medium,Cloudy,7.97
11.45,22.31,1.0,20,0,Medium,Cloudy,42.78
0.5,2.23,1.0,0,0,Very High,Clear,11.64
10.95,16.06,1.0,7,0,Low,Cloudy,29.53
1.81,2.62,3.0,4,0,Medium,Foggy,11.23
3.67,8.88,1.0,7,0,Medium,Clear,19.54
3.17,3.25,5.0,16,1,Medium,Clear,13.9
1.29,3.13,1.0,18,1,High,Cloudy,13.78
2.92,2.14,1.0,11,1,Medium,Cloudy,13.87
16.74,25.86,1.0,22,0,Low,Clear,44.13
3.67,6.51,1.0,3,0,Low,Cloudy,14.73
4.76,7.44,1.0,22,0,Medium,Cloudy,19.44
10.24,14.85,1.0,11,0,Low,Rainy,29.85
7.19,13.73,3.0,13,0,Medium,Clear,24.46
3.97,9.04,2.0,4,0,Low,Cloudy,15.11
4.26,7.02,1.0,21,1,Medium,Rainy,18.84
9.52,16.71,1.0,15,0,Medium,Clear,32.74
0.5,3.41,1.0,6,1,Medium,Rainy,7.01
7.73,13.76,1.0,14,0,Medium,Clear,26.3
3.51,9.18,1.0,12,0,Very High,Rainy,23.61
12.65,24.48,1.0,15,0,Medium,Clear,42.24
0.78,1.13,1.0,11,0,Medium,Rainy,6.68
7.1,15.88,3.0,6,0,High,Clear,29.71
5.25,8.46,1.0,15,0,Medium,Clear,18.56
8.23,15.07,5.0,22,0,Low,Clear,24.97
